City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,celestun,20.8667,-90.4,27.0,74,87,5.89,MX,1730071078
338,san borja,-14.8167,-66.85,22.58,76,100,1.02,BO,1730071079
339,hasaki,35.7333,140.8333,19.63,91,100,6.98,JP,1730071080
340,onguday,50.75,86.15,3.62,86,100,1.1,RU,1730071082
341,vetluzhskiy,58.3902,45.4654,3.72,89,98,0.59,RU,1730071083
342,ceeldheer,3.8488,47.1806,25.69,88,96,3.53,SO,1730071084
343,minchianabad,30.163,73.5685,23.89,38,12,3.55,PK,1730071076
344,badger,64.8,-147.5333,-10.36,84,75,2.57,US,1730071086
345,chibougamau,49.9168,-74.3659,-2.21,64,100,4.63,CA,1730071087
346,welcome,34.8265,-82.439,14.37,77,100,5.14,US,1730071088
347,buta,2.7858,24.73,21.08,98,90,0.74,CD,1730071089
348,auki,-8.7676,160.7034,30.45,62,68,1.03,SB,1730071091
349,sao felix do xingu,-6.6447,-51.995,27.27,60,83,0.92,BR,1730071092
350,beaufort west,-32.3567,22.583,10.73,70,94,15.18,ZA,1730071093
351,usogorsk,63.4106,48.6872,0.26,92,17,1.66,RU,1730071095
352,paita,-5.0892,-81.1144,18.83,81,34,7.62,PE,1730071096
353,alice springs,-23.7,133.8833,26.75,22,0,5.66,AU,1730071097
354,dwarka,22.2394,68.9678,28.21,73,73,4.53,IN,1730071099
355,palapye,-22.546,27.1251,24.9,19,2,3.57,BW,1730071100
356,grand falls-windsor,48.9332,-55.6649,2.5,84,14,0.45,CA,1730071101
357,slatyne,50.2242,36.1608,6.32,82,49,2.73,UA,1730071102
358,zaozersk,69.4005,32.4476,5.15,89,100,8.16,RU,1730071103
359,toliara,-23.35,43.6667,23.78,60,14,1.94,MG,1730071104
360,bandundu,-3.3167,17.3667,23.91,81,57,0.59,CD,1730071105
